loc_id,urban,country,person_id
36126,3,PL,16673
36266,3,RO,15362
36939,3,US,1187
23995,3,GT,1545
23997,3,GT,15103
23996,3,GT,2547
37001,3,US,1701
39240,3,US,37221
25262,3,MX,2505
35545,3,PE,5393
17747,2,PE,1516
38626,3,US,19540
2556,1,MY,12714
39327,3,US,37943
20314,2,US,17725
25313,3,MX,18341
17551,2,MY,37935
36054,3,PK,26100
21711,2,US,39113
7229,1,US,5140
23648,3,GB,16664
9447,2,CA,29549
39354,3,US,38125
22100,3,AU,19806
10251,2,GB,39596
20120,2,US,17078
10051,2,GB,18022
19000,2,US,6729
23415,3,GB,1432
21184,2,US,35040
11662,2,MY,5032
18580,2,US,2244
9451,2,CA,30411
22388,3,BR,16964
18582,2,US,2246
38178,3,US,17161
26703,3,MY,7779
11086,2,MY,2800
37513,3,US,8274
2412,1,MY,11695
36332,3,RS,4931
19363,2,US,9321
4242,1,MY,24884
23861,3,GB,37940
7138,1,US,2215
21368,2,US,37346
8448,1,US,38143
37512,3,US,8257
23251,3,ES,18331
18808,2,US,4977
242,1,CA,5120
23867,3,GB,38041
9958,2,GB,7785
35435,3,NP,21442
8595,1,US,39168
36532,3,SG,7673
20587,2,US,19797
6029,1,MY,34341
7822,1,US,17806
18907,2,US,5359
23617,3,GB,15655
23155,3,EC,5622
18799,2,US,4968
9730,2,EC,30352
8808,2,AU,8146
20671,2,US,28425
22740,3,CA,28465
18714,2,US,3216
26263,3,MY,5011
18849,2,US,5132
37004,3,US,1704
310,1,CA,17203
18801,2,US,4970
18773,2,US,4796
8355,1,US,37265
10289,2,HK,19981
21349,2,US,37284
23402,3,GB,1011
9837,2,FR,16939
20814,2,US,29013
22894,3,CA,39472
35484,3,NZ,16868
10549,2,IE,17442
10009,2,GB,16563
1065,1,IE,36592
38991,3,US,34088
39071,3,US,34528
38479,3,US,18651
19009,2,US,6781
22154,3,AU,37937
22156,3,AU,38035
6758,1,PH,19481
8104,1,US,30318
22957,3,CO,28995
37627,3,US,10335
10668,2,IT,8059
20780,2,US,28831
19001,2,US,6731
426,1,CZ,4846
23486,3,GB,5166
35422,3,NO,1553
23323,3,FR,4905
18881,2,US,5269
9914,2,GB,2349
36331,3,RS,1944
744,1,GB,17028
634,1,GB,1253
24048,3,HR,5083
23479,3,GB,4906
837,1,GB,37984
25251,3,MX,670
18640,2,US,2464
36329,3,RS,1235
20668,2,US,28407
229,1,CA,1878
17960,2,RS,17064
25330,3,MX,29658
35447,3,NZ,4828
8762,2,AU,2433
37733,3,US,14927
7681,1,US,16464
7708,1,US,16704
18846,2,US,5118
8402,1,US,37515
8728,2,AU,62
17666,2,NZ,1515
22387,3,BR,16653
18661,2,US,2543
37545,3,US,8535
21913,3,AE,2498
1207,1,MX,2485
18653,2,US,2518
37112,3,US,2371
39065,3,US,34512
21965,3,AR,1211
23393,3,GB,213
8752,2,AU,2147
8747,2,AU,1922
36333,3,RS,4932
24915,3,IN,30616
36531,3,SG,7600
39277,3,US,37463
23313,3,FR,1910
